stamp_s,time_s,gt_x_m,gt_y_m,gt_yaw_rad,gt_world_x_m,gt_world_y_m,gt_world_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,amcl_absolute_error_m,amcl_absolute_error_rad,amcl_relative_drift_m,amcl_relative_drift_rad,current_map_x_m,current_map_y_m,current_map_yaw_rad,current_map_error_m,current_map_error_rad,current_map_absolute_error_m,current_map_absolute_error_rad,current_map_relative_drift_m,current_map_relative_drift_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,ekf_absolute_error_m,ekf_absolute_error_rad,ekf_relative_drift_m,ekf_relative_drift_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,odom_absolute_error_m,odom_absolute_error_rad,odom_relative_drift_m,odom_relative_drift_rad,gt_speed_mps,collision_count,scoring_mode,map_provenance_file
1789381337.928975,17.640437,0.800600,3.158300,-1.570734,0.800000,3.158300,-1.570741,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.000000,0,relative_first_pair,
1789381337.953340,17.664801,0.800600,3.158300,-1.570734,0.800000,3.158300,-1.570741,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.000000,0,relative_first_pair,
1789381337.978728,17.690189,0.800600,3.158300,-1.570734,0.800000,3.158300,-1.570741,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.000000,0,relative_first_pair,
1789381338.003226,17.714688,0.800600,3.158300,-1.570734,0.800000,3.158300,-1.570741,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.000000,0,relative_first_pair,
1789381338.078552,17.790014,0.800600,3.158300,-1.570734,0.800000,3.158300,-1.570741,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.000000,0,relative_first_pair,
1789381338.028238,17.739699,0.800600,3.158300,-1.570734,0.800000,3.158300,-1.570741,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.000000,0,relative_first_pair,
1789381338.054062,17.765523,0.800600,3.158300,-1.570734,0.800000,3.158300,-1.570741,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.000000,0,relative_first_pair,
1789381338.078552,17.790014,0.800600,3.158300,-1.570734,0.800000,3.158300,-1.570741,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.000000,0,relative_first_pair,
1789381338.103241,17.814703,0.800600,3.158300,-1.570734,0.800000,3.158300,-1.570741,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.000000,0,relative_first_pair,
1789381338.103241,17.814703,0.800600,3.158300,-1.570734,0.800000,3.158300,-1.570741,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570734,0.000000,0.000000,nan,nan,0.000000,0.000000,0.000000,0,relative_first_pair,
